subject_id,model,precision,recall,f1,pr_auc,tp,fp,fn,n_test_pos,n_test_neg
21,Logistic Regression,0.043478260869565216,1.0,0.08333333333333333,0.39786967418546365,4,88,0,4,623
21,Random Forest,0.5,0.25,0.3333333333333333,0.625,1,1,3,4,623
22,Threshold Baseline,0.012461059190031152,1.0,0.024615384615384615,,4,317,0,4,548
22,Logistic Regression,0.07692307692307693,0.75,0.13953488372093023,0.3732843137254902,3,36,1,4,548
22,Random Forest,1.0,0.25,0.4,0.5569908814589666,1,0,3,4,548
23,Threshold Baseline,0.011363636363636364,1.0,0.02247191011235955,,4,348,0,4,588
23,Logistic Regression,0.1111111111111111,1.0,0.2,0.2708333333333333,4,32,0,4,588
23,Random Forest,0.0,0.0,0.0,0.17191176470588235,0,0,4,4,588
24,Threshold Baseline,0.010958904109589041,1.0,0.02168021680216802,,4,361,0,4,620
24,Logistic Regression,0.06896551724137931,1.0,0.12903225806451613,0.5603030303030303,4,54,0,4,620
24,Random Forest,0.5,0.25,0.3333333333333333,0.65,1,1,3,4,620
25,Threshold Baseline,0.010752688172043012,1.0,0.02127659574468085,,4,368,0,4,643
25,Logistic Regression,0.038461538461538464,1.0,0.07407407407407407,0.5166666666666666,4,100,0,4,643
25,Random Forest,0.0,0.0,0.0,0.6488095238095238,0,0,4,4,643
26,Threshold Baseline,0.008522727272727272,0.75,0.016853932584269662,,3,349,1,4,634
26,Logistic Regression,0.06382978723404255,0.75,0.11764705882352941,0.4669491525423729,3,44,1,4,634
26,Random Forest,0.6666666666666666,0.5,0.5714285714285714,0.8041666666666667,2,1,2,4,634
27,Threshold Baseline,0.00909090909090909,1.0,0.018018018018018018,,3,327,0,3,575
27,Logistic Regression,0.04,0.6666666666666666,0.07547169811320754,0.6813725490196079,2,48,1,3,575
27,Random Forest,0.0,0.0,0.0,0.4294117647058823,0,0,3,3,575
28,Threshold Baseline,0.008064516129032258,0.75,0.015957446808510637,,3,369,1,4,609
28,Logistic Regression,0.05333333333333334,1.0,0.10126582278481013,0.44345238095238093,4,71,0,4,609
28,Random Forest,0.0,0.0,0.0,0.5331553182020472,0,0,4,4,609
29,Threshold Baseline,0.014285714285714285,1.0,0.028169014084507043,,5,345,0,5,563
29,Logistic Regression,0.13333333333333333,0.8,0.22857142857142856,0.19541827541827542,4,26,1,5,563
29,Random Forest,0.0,0.0,0.0,0.16545103957075788,0,0,5,5,563
30,Threshold Baseline,0.009523809523809525,1.0,0.018867924528301886,,4,416,0,4,659
30,Logistic Regression,0.06349206349206349,1.0,0.11940298507462686,0.48647186147186144,4,59,0,4,659
30,Random Forest,1.0,0.25,0.4,0.8333333333333333,1,0,3,4,659
